Date,Open,High,Low,Close,Adj Close,Volume,MA50
2022-01-03,3750.0,3830.0,3745.0,3817.75,3663.824462890625,2346158,
2022-01-04,3831.10009765625,3889.14990234375,3811.699951171875,3884.75,3728.123046875,2488606,
2022-01-05,3865.0,3870.0,3812.39990234375,3860.949951171875,3705.2822265625,1733031,
2022-01-06,3812.0,3835.0,3772.0,3807.449951171875,3653.939453125,1810293,
2022-01-07,3820.0,3864.89990234375,3796.39990234375,3853.5,3698.1328125,2460591,
2022-01-10,3978.0,3978.0,3861.0,3879.85009765625,3723.42041015625,3937092,
2022-01-11,3856.0,3925.0,3856.0,3915.89990234375,3758.016845703125,1906106,
2022-01-12,3925.0,3929.0,3836.550048828125,3859.89990234375,3704.27490234375,3203744,
2022-01-13,3918.0,3923.0,3857.0,3897.89990234375,3740.742919921875,6684507,
2022-01-14,3877.85009765625,3977.0,3860.050048828125,3968.14990234375,3808.160400390625,3348123,
2022-01-17,3992.699951171875,4043.0,3962.300048828125,4019.14990234375,3857.10400390625,3442604,
2022-01-18,4033.949951171875,4041.699951171875,3980.0,3990.60009765625,3829.705322265625,2389041,
2022-01-19,4012.0,4012.0,3910.5,3914.64990234375,3763.418701171875,3102539,
2022-01-20,3910.0,3920.0,3811.0,3826.550048828125,3678.72265625,6176776,
2022-01-21,3807.0,3851.550048828125,3771.10009765625,3833.5,3685.40380859375,3112358,
2022-01-24,3840.0,3849.64990234375,3740.10009765625,3771.35009765625,3625.655029296875,3258414,
2022-01-25,3769.5,3809.39990234375,3722.199951171875,3769.89990234375,3624.260498046875,3330501,
2022-01-27,3731.0,3733.39990234375,3625.10009765625,3649.25,3508.271728515625,5718297,
2022-01-28,3646.0,3729.800048828125,3646.0,3690.050048828125,3547.49560546875,3143862,
2022-01-31,3749.0,3758.0,3721.39990234375,3736.25,3591.91064453125,2739393,
2022-02-01,3770.0,3808.0,3736.39990234375,3800.64990234375,3653.822509765625,2105169,
2022-02-02,3827.89990234375,3864.0,3800.64990234375,3856.199951171875,3707.2265625,1984212,
2022-02-03,3851.0,3882.5,3816.050048828125,3824.60009765625,3676.847412109375,1960538,
2022-02-04,3815.300048828125,3824.699951171875,3769.0,3814.89990234375,3667.5224609375,2307366,
2022-02-07,3791.0,3831.800048828125,3756.14990234375,3779.0,3633.00927734375,1919149,
2022-02-08,3791.550048828125,3799.699951171875,3721.0,3743.449951171875,3598.83251953125,2946443,
2022-02-09,3750.0,3777.949951171875,3746.10009765625,3760.550048828125,3615.271728515625,1638721,
2022-02-10,3789.800048828125,3789.800048828125,3758.0,3770.35009765625,3624.693115234375,2112459,
