,Date,Open,High,Low,Close,Adj Close,Volume,MA50
49,2022-03-15,3659.0,3659.0,3585.39990234375,3593.89990234375,3455.0595703125,3651133,3741.4059765625
50,2022-03-16,3640.5,3668.0,3616.25,3655.89990234375,3514.6650390625,3090475,3738.168974609375
51,2022-03-17,3696.60009765625,3710.0,3660.300048828125,3672.75,3530.864013671875,3600452,3733.928974609375
52,2022-03-21,3696.0,3713.949951171875,3615.0,3626.699951171875,3486.5927734375,2413831,3729.243974609375
53,2022-03-22,3640.0,3711.0,3625.0,3700.949951171875,3557.974365234375,2907611,3727.113974609375
54,2022-03-23,3708.0,3729.800048828125,3690.0,3712.39990234375,3568.982177734375,1596195,3724.29197265625
55,2022-03-24,3700.0,3758.199951171875,3695.0,3749.85009765625,3604.98583984375,1879046,3721.69197265625
56,2022-03-25,3759.89990234375,3779.5,3672.0,3707.449951171875,3564.223388671875,1690133,3717.522973632813
57,2022-03-28,3695.0,3713.0,3661.199951171875,3707.699951171875,3564.463623046875,1760990,3714.478974609375
58,2022-03-29,3694.75,3722.0,3691.0,3705.35009765625,3562.20458984375,2689063,3710.627978515625
59,2022-03-30,3738.0,3738.0,3706.199951171875,3731.550048828125,3587.392333984375,1583455,3705.895981445312
60,2022-03-31,3740.0,3754.64990234375,3720.199951171875,3739.949951171875,3595.4677734375,2168110,3700.311982421875
61,2022-04-01,3748.0,3763.0,3728.050048828125,3758.75,3613.54150390625,1387014,3695.67498046875
62,2022-04-04,3762.0,3780.0,3737.10009765625,3770.35009765625,3624.693115234375,1472994,3692.788984375
63,2022-04-05,3772.0,3835.60009765625,3772.0,3814.800048828125,3667.42626953125,2314947,3692.553984375
64,2022-04-06,3809.300048828125,3809.300048828125,3731.14990234375,3755.35009765625,3610.272705078125,2051729,3690.990986328125
65,2022-04-07,3745.5,3745.5,3679.0,3684.14990234375,3541.822998046875,2494829,3689.246982421875
66,2022-04-08,3690.0,3705.0,3642.5,3685.64990234375,3543.265625,2296773,3687.561982421875
67,2022-04-11,3690.0,3712.35009765625,3656.10009765625,3696.39990234375,3553.600341796875,2291660,3688.50498046875
68,2022-04-12,3683.0,3739.0,3648.35009765625,3691.10009765625,3548.505126953125,4483476,3688.525981445313
69,2022-04-13,3707.0,3709.85009765625,3655.550048828125,3661.949951171875,3520.481201171875,1621672,3687.03998046875
70,2022-04-18,3610.0,3610.0,3522.5,3528.050048828125,3391.75390625,3820792,3681.5879833984377
71,2022-04-19,3550.0,3563.550048828125,3439.14990234375,3471.89990234375,3337.77294921875,3170014,3673.901982421875
